id,segments_id,text,category,dataset_name,tokenizer
2003_invasion_of_Iraq,0,"The 2003 invasion of Iraq lasted from 20 March to 1 May 2003 and signalled the start of the Iraq War , which was dubbed Operation Iraqi Freedom by the United States ( prior to 19 March , the mission in Iraq was called Operation Enduring Freedom , a carryover from the War in Afghanistan ) . The invasion consisted of 21 days of major combat operations , in which a combined force of troops from the United States , the United Kingdom , Australia and Poland invaded Iraq and deposed the Ba'athist government of Saddam Hussein . The invasion phase consisted primarily of a conventionally fought war which included the capture of the Iraqi capital of Baghdad by American forces with the implicit assistance of the United Kingdom alongside Australia and Poland . 160,000 troops were sent by the Coalition into Iraq , during the initial invasion phase , which lasted from 19 March to 9 April 2003 .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2003_invasion_of_Iraq,1,"About 130,000 were sent from the USA alone , with about 28,000 British soldiers , Australia ( 2,000 ) , and Poland ( 194 ) . 36 other countries were involved in its aftermath . In preparation for the invasion , 100,000 U.S. troops were assembled in Kuwait by 18 February . The coalition forces also received support from Kurdish irregulars in Iraqi Kurdistan . According to U.S. President George W. Bush and UK Prime Minister Tony Blair , the coalition mission was `` to disarm Iraq of weapons of mass destruction , to end Saddam Hussein 's support for terrorism , and to free the Iraqi people . '' Others place a much greater emphasis on the impact of the September 11 attacks , and the role this played in changing U.S. strategic calculations , and the rise of the freedom agenda .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2003_invasion_of_Iraq,2,"According to Blair , the trigger was Iraq 's failure to take a `` final opportunity '' to disarm itself of alleged nuclear , chemical , and biological weapons that U.S. and British officials called an immediate and intolerable threat to world peace . In a January 2003 CBS poll , 64 % of Americans had approved of military action against Iraq ; however , 63 % wanted Bush to find a diplomatic solution rather than go to war , and 62 % believed the threat of terrorism directed against the U.S. would increase due to war . The invasion of Iraq was strongly opposed by some long-standing U.S. allies , including the governments of France , Germany , and New Zealand . Their leaders argued that there was no evidence of weapons of mass destruction in Iraq and that invading the country was not justified in the context of UNMOVIC 's 12 February 2003 report .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2003_invasion_of_Iraq,3,"On 15 February 2003 , a month before the invasion , there were worldwide protests against the Iraq War , including a rally of three million people in Rome , which is listed in the Guinness Book of Records as the largest ever anti-war rally . According to the French academic Dominique Reynié , between 3 January and 12 April 2003 , 36 million people across the globe took part in almost 3,000 protests against the Iraq war . The invasion was preceded by an airstrike on the Presidential Palace in Baghdad on 20 March 2003 . The following day , coalition forces launched an incursion into Basra Province from their massing point close to the Iraqi-Kuwaiti border . While the special forces launched an amphibious assault from the Persian Gulf to secure Basra and the surrounding petroleum fields , the main invasion army moved into southern Iraq , occupying the region and engaging in the Battle of Nasiriyah on 23 March . Massive air strikes across the country and against Iraqi command and control threw the defending army into chaos and prevented an effective resistance .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2003_invasion_of_Iraq,4,"On 26 March , the 173rd Airborne Brigade was airdropped near the northern city of Kirkuk , where they joined forces with Kurdish rebels and fought several actions against the Iraqi Army to secure the northern part of the country . The main body of coalition forces continued their drive into the heart of Iraq and met with little resistance . Most of the Iraqi military was quickly defeated and Baghdad was occupied on 9 April . Other operations occurred against pockets of the Iraqi army , including the capture and occupation of Kirkuk on 10 April , and the attack and capture of Tikrit on 15 April . Iraqi president Saddam Hussein and the central leadership went into hiding as the coalition forces completed the occupation of the country . On 1 May , an end of major combat operations was declared , ending the invasion period and beginning the military occupation period .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2007_United_Kingdom_floods,0,"A series of destructive floods occurred in parts of the United Kingdom during the summer of 2007 . The worst of the flooding occurred across Scotland on 14 June ; East Yorkshire and The Midlands on 15 June ; Yorkshire , The Midlands , Gloucestershire , Herefordshire and Worcestershire on 25 June ; and Gloucestershire , Herefordshire , Worcestershire , Oxfordshire , Berkshire and South Wales on 28 July 2007 . June was one of the wettest months on record in Britain ( see List of weather records ) . Average rainfall across the country was 140 mm ; more than double the June average . Some areas received a month 's worth of precipitation in 24 hours . It was Britain 's wettest May -- July since records began in 1776 . July had unusually unsettled weather and above-average rainfall through the month , peaking on 20 July as an active frontal system dumped more than 120 mm of rain in southern England .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2007_United_Kingdom_floods,1,Civil and military authorities described the June and July rescue efforts as the biggest in peacetime Britain . The Environment Agency described the July floods as critical and expected them to exceed the 1947 benchmark .,Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2009_United_Nations_Climate_Change_Conference,0,"The 2009 United Nations Climate Change Conference , commonly known as the Copenhagen Summit , was held at the Bella Center in Copenhagen , Denmark , between 7 and 18 December . The conference included the 15th Conference of the Parties ( COP 15 ) to the United Nations Framework Convention on Climate Change ( UNFCCC ) and the 5th Meeting of the Parties ( MOP 5 ) to the Kyoto Protocol . According to the Bali Road Map , a framework for climate change mitigation beyond 2012 was to be agreed there . On Friday 18 December , the final day of the conference , international media reported that the climate talks were `` in disarray '' . Media also reported that in lieu of a summit collapse , only a `` weak political statement '' was anticipated at the conclusion of the conference . The Copenhagen Accord was drafted by the United States , China , India , Brazil and South Africa on 18 December , and judged a `` meaningful agreement '' by the United States government .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2009_United_Nations_Climate_Change_Conference,1,"It was `` taken note of '' , but not `` adopted '' , in a debate of all the participating countries the next day , and it was not passed unanimously . The document recognised that climate change is one of the greatest challenges of the present day and that actions should be taken to keep any temperature increases to below 2 ° C . The document is not legally binding and does not contain any legally binding commitments for reducing emissions . In January 2014 , documents leaked by Edward Snowden and published by Dagbladet Information revealed that the US government negotiators were in receipt of information during the conference that was being obtained by spying against other conference delegations . The US National Security Agency provided US delegates with advance details other delegations ' positions , including the Danish plan to `` rescue '' the talks should they flounder . Members of the Danish negotiating team said that both the US and Chinese delegations were `` peculiarly well-informed '' about closed-door discussions : `` They simply sat back , just as we had feared they would if they knew about our document . ''",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
20th_century,0,"The 20th century was a century that began on   January 1 , 1901 and ended on December 31 , 2000 . It was the tenth and final century of the 2nd millennium . It is distinct from the century known as the 1900s which began on January 1 , 1900 , and ended on December 31 , 1999 . The 20th century was dominated by a chain of events that heralded significant changes in world history as to redefine the era : World War I and World War II , nuclear power and space exploration , nationalism and decolonization , the Cold War and post-Cold War conflicts ; intergovernmental organizations and cultural homogenization through developments in emerging transportation and communications technology ; poverty reduction and world population growth , awareness of environmental degradation , ecological extinction ; and the birth of the Digital Revolution . It saw great advances in communication and medical technology that by the late 1980s allowed for near-instantaneous worldwide computer communication and genetic modification of life .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
20th_century,1,"The term `` short twentieth century '' was coined to represent the events from 1914 to 1991 . Global total fertility rates , sea level rise and ecological collapses increased ; the resulting competition for land and dwindling resources accelerated deforestation , water depletion . and the mass extinction of half the world 's estimated nine million unique species and wildlife population ; consequences which are now being dealt with . It took all of human history up to 1804 for the world 's population to reach 1 billion ; world population reached an estimated 2 billion in 1927 ; by late 1999 , the global population reached 6 billion . Global literacy averaged 80 % ; global lifespan-averages exceeded 40 + years for the first time in history , with over half achieving 70 + years ( three decades longer than it was a century ago ) .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Aeolis_quadrangle,0,"The Aeolis quadrangle is one of a series of 30 quadrangle maps of Mars used by the United States Geological Survey ( USGS ) Astrogeology Research Program . The Aeolis quadrangle is also referred to as MC-23 ( Mars Chart-23 ) . The Aeolis quadrangle covers 180 ° to 225 ° W and 0 ° to 30 ° south on Mars , and contains parts of the regions Elysium Planitia and Terra Cimmeria . A small part of the Medusae Fossae Formation lies in this quadrangle . The name refers to the name of a floating western island of Aiolos , the ruler of the winds . In Homer 's account , Odysseus received the west wind Zephyr here and kept it in bags , but the wind got out .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Aeolis_quadrangle,1,"It is famous as the site of two spacecraft landings : the Spirit rover landing site in Gusev crater ( January 4 , 2004 ) , and the Curiosity rover in Gale Crater ( August 6 , 2012 ) . A large , ancient river valley , called Ma'adim Vallis , enters at the south rim of Gusev Crater , so Gusev Crater was believed to be an ancient lake bed . However , it seems that a volcanic flow covered up the lakebed sediments . Apollinaris Patera , a large volcano , lies directly north of Gusev Crater . Gale Crater , in the northwestern part of the Aeolis quadrangle , is of special interest to geologists because it contains a 2 -- 4 km ( 1.2 -- 2.5 mile ) high mound of layered sedimentary rocks , named `` Mount Sharp '' by NASA in honor of Robert P. Sharp ( 1911 -- 2004 ) , a planetary scientist of early Mars missions .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Aeolis_quadrangle,2,"More recently , on 16 May 2012 , `` Mount Sharp '' was officially named Aeolis Mons by the USGS and IAU . Some regions in the Aeolis quadrangle show inverted relief . In these locations , a stream bed may be a raised feature , instead of a valley . The inverted former stream channels may be caused by the deposition of large rocks or due to cementation . In either case erosion would erode the surrounding land but leave the old channel as a raised ridge because the ridge will be more resistant to erosion   Yardangs are another feature found in this quadrangle They are generally visible as a series of parallel linear ridges , caused by the direction of the prevailing wind .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
"Abadan,_Iran",0,"Abadan ( آبادان Ābādān ) is a city in and the capital of Abadan County , Khuzestan Province which is located in central west of Iran . It lies on Abadan Island ( 68 km long , 3 -- 19 km or 2 -- 12 miles wide ) , the island is bounded in the west by the Arvand waterway and to the east by the Bahmanshir outlet of the Karun River ( the Shatt al-Arab ) , 53 km from the Persian Gulf , near the Iraqi-Iran border . '' '",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Agriculture,0,"Agriculture or farming is the cultivation and breeding of animals , plants and fungi for food , fiber , biofuel , medicinal plants and other products used to sustain and enhance human life . Agriculture was the key development in the rise of sedentary human civilization , whereby farming of domesticated species created food surpluses that nurtured the development of civilization . The study of agriculture is known as agricultural science . The history of agriculture dates back thousands of years , and its development has been driven and defined by greatly different climates , cultures , and technologies . Industrial agriculture based on large-scale monoculture farming has become the dominant agricultural methodology . Modern agronomy , plant breeding , agrochemicals such as pesticides and fertilizers , and technological developments have in many cases sharply increased yields from cultivation , but at the same time have caused widespread ecological damage and negative human health effects . Selective breeding and modern practices in animal husbandry have similarly increased the output of meat , but have raised concerns about animal welfare and the health effects of the antibiotics , growth hormones , and other chemicals commonly used in industrial meat production .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Agriculture,1,"Genetically modified organisms are an increasing component of agriculture , although they are banned in several countries . Agricultural food production and water management are increasingly becoming global issues that are fostering debate on a number of fronts . Significant degradation of land and water resources , including the depletion of aquifers , has been observed in recent decades , and the effects of global warming on agriculture and of agriculture on global warming are still not fully understood . The major agricultural products can be broadly grouped into foods , fibers , fuels , and raw materials . Specific foods include cereals ( grains ) , vegetables , fruits , oils , meats and spices . Fibers include cotton , wool , hemp , silk and flax . Raw materials include lumber and bamboo . Other useful materials are also produced by plants , such as resins , dyes , drugs , perfumes , biofuels and ornamental products such as cut flowers and nursery plants . Over one third of the world 's workers are employed in agriculture , second only to the service sector , although the percentages of agricultural workers in developed countries has decreased significantly over the past several centuries .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Americans,0,"Americans are citizens of the United States of America . The country is home to people of many different national origins . As a result , Americans do not equate their nationality with ethnicity , but with citizenship and allegiance . Although citizens make up the majority of Americans , non-citizen residents , dual citizens , and expatriates may also claim an American identity . The use in English of the term `` American '' to exclusively mean people of the United States developed from its original use to differentiate English people of the American colonies from English people of England despite its linguistic ambiguity in other senses of the word `` American '' , which can also refer to people from the Americas in general . See Names for United States citizens .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Air_pollution,0,"Air pollution occurs when harmful substances including particulates and biological molecules are introduced into Earth 's atmosphere . It may cause diseases , allergies or death in humans ; it may also cause harm to other living organisms such as animals and food crops , and may damage the natural or built environment . Human activity and natural processes can both generate air pollution . Indoor air pollution and poor urban air quality are listed as two of the world 's worst toxic pollution problems in the 2008 Blacksmith Institute World 's Worst Polluted Places report . According to the 2014 WHO report , air pollution in 2012 caused the deaths of around 7 million people worldwide , an estimate roughly matched by the International Energy Agency .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Al_Gore,0,"Albert Arnold Gore Jr. ( born March 31 , 1948 ) is an American politician and environmentalist who served as the 45th Vice President of the United States from 1993 to 2001 under President Bill Clinton . He was Clinton 's running mate in their successful campaign in 1992 , and was re-elected in 1996 . At the end of Clinton 's second term , Gore was picked as the Democratic nominee for the 2000 presidential election . After leaving office , Gore remained prominent as an author and environmental activist , whose work in climate change activism earned him ( jointly with the IPCC ) the Nobel Peace Prize in 2007 . Gore was an elected official for 24 years . He was a Congressman from Tennessee ( 1977 -- 85 ) and from 1985 to 1993 served as one of the state 's Senators . He served as Vice President during the Clinton administration from 1993 to 2001 .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Al_Gore,1,"In the 2000 presidential election , in what was one of the closest presidential races in history , Gore won the popular vote but lost in the Electoral College to Republican George W. Bush . A controversial election dispute over a vote recount in Florida was settled by the U.S. Supreme Court , which ruled 5 -- 4 in favor of Bush . Gore is the founder and current chair of the Alliance for Climate Protection , the co-founder and chair of Generation Investment Management and the now-defunct Current TV network , a member of the Board of Directors of Apple Inc. , and a senior adviser to Google . Gore is also a partner in the venture capital firm Kleiner Perkins Caufield & Byers , heading its climate change solutions group . He has served as a visiting professor at Middle Tennessee State University , Columbia University Graduate School of Journalism , Fisk University , and the University of California , Los Angeles . He served on the Board of Directors of World Resources Institute .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Al_Gore,2,"Gore has received a number of awards including the Nobel Peace Prize ( joint award with the Intergovernmental Panel on Climate Change , 2007 ) , a Grammy Award for Best Spoken Word Album ( 2009 ) for his book An Inconvenient Truth , a Primetime Emmy Award for Current TV ( 2007 ) , and a Webby Award ( 2005 ) . Gore was also the subject of the Academy Award-winning ( 2007 ) documentary An Inconvenient Truth in 2006 . In 2007 , he was named a runner-up for Time 2007 Person of the Year .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
An_Inconvenient_Truth,0,"An Inconvenient Truth is a 2006 American documentary film directed by Davis Guggenheim about former United States Vice President Al Gore 's campaign to educate citizens about global warming via a comprehensive slide show that , by his own estimate made in the film , he has given more than a thousand times . The idea to document his efforts came from producer Laurie David , who saw his presentation at a town-hall meeting on global warming , which coincided with the opening of The Day After Tomorrow . Laurie David was so inspired by Gore 's slide show that she , with producer Lawrence Bender , met with Guggenheim to adapt the presentation into a film . Premiering at the 2006 Sundance Film Festival and opening in New York City and Los Angeles on May 24 , 2006 , the documentary was a critical and box office success , winning two Academy Awards for Best Documentary Feature and Best Original Song . The film grossed $ 24 million in the U.S. and $ 26 million at the international box office , becoming the tenth highest grossing documentary film to date in the United States .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
An_Inconvenient_Truth,1,"Since the film 's release , An Inconvenient Truth has been credited for raising international public awareness of global warming and reenergizing the environmental movement . The documentary has also been included in science curricula in schools around the world , which has spurred some controversy . A sequel to the film , titled An Inconvenient Sequel : Truth to Power , will be released on July 28 , 2017 .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Amazon_rainforest,0,"The Amazon rainforest ( Portuguese : Floresta Amazônica or Amazônia ; Selva Amazónica , Amazonía or usually Amazonia ; Forêt amazonienne Amazoneregenwoud ) , also known in English as Amazonia or the Amazon Jungle , is a moist broadleaf forest in the Amazon biome that covers most of the Amazon basin of South America . This basin encompasses 7,000,000 km2 , of which 5,500,000 km2 are covered by the rainforest . This region includes territory belonging to nine nations . The majority of the forest is contained within Brazil , with 60 % of the rainforest , followed by Peru with 13 % , Colombia with 10 % , and with minor amounts in Venezuela , Ecuador , Bolivia , Guyana , Suriname and French Guiana . States or departments in four nations contain `` Amazonas '' in their names .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Amazon_rainforest,1,"The Amazon represents over half of the planet 's remaining rainforests , and comprises the largest and most biodiverse tract of tropical rainforest in the world , with an estimated 390 billion individual trees divided into 16,000 species .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctic_sea_ice,0,"Antarctic sea ice is the sea ice of the Southern Ocean . It extends far north in winter and retreats almost to the coastline each summer . Sea ice is frozen seawater that is usually less than a few meters thick . This is in contrast to ice shelves , which are formed by glaciers , float in the sea , and are up to a kilometer thick . There are two subdivisions of sea ice : fast ice , which is attached to land ; and ice floes , which are not . Sea ice in the Southern Ocean melts from the bottom instead of from the surface like Arctic ice because it is covered in snow . As a result , melt ponds are rarely observed . On average , Antarctic sea ice is younger , thinner , warmer , saltier , and more mobile than Arctic sea ice . Due to its inaccessibility , it is not as well-studied as Arctic ice .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctic_ice_sheet,0,"The Antarctic ice sheet is one of the two polar ice caps of the Earth . It covers about 98 % of the Antarctic continent and is the largest single mass of ice on Earth . It covers an area of almost 14 e6km2 and contains 26.5 e6km3 of ice . Approximately 61 percent of all fresh water on the Earth is held in the Antarctic ice sheet , an amount equivalent to about 58 m of sea-level rise . In East Antarctica , the ice sheet rests on a major land mass , but in West Antarctica the bed can extend to more than 2,500 m below sea level . Much of the land in this area would be seabed if the ice sheet were not there . In contrast to the melting of the Arctic sea ice , sea ice around Antarctica was expanding . The reasons for this are not fully understood , but suggestions include the climatic effects on ocean and atmospheric circulation of the ozone hole , and/or cooler ocean surface temperatures as the warming deep waters melt the ice shelves .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctica,0,"Antarctica ( UK English -LSB- ænˈtɑːktɪkə -RSB- or -LSB- ænˈtɑːtɪkə -RSB- , US English -LSB- æntˈɑːrktɪkə -RSB- ) is Earth 's southernmost continent . It contains the geographic South Pole and is situated in the Antarctic region of the Southern Hemisphere , almost entirely south of the Antarctic Circle , and is surrounded by the Southern Ocean . At 14000000 km2 , it is the fifth-largest continent . For comparison , Antarctica is nearly twice the size of Australia . About 98 % of Antarctica is covered by ice that averages 1.9 km in thickness , which extends to all but the northernmost reaches of the Antarctic Peninsula . Antarctica , on average , is the coldest , driest , and windiest continent , and has the highest average elevation of all the continents .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctica,1,"Antarctica is a desert , with annual precipitation of only 200 mm ( 8 in ) along the coast and far less inland . The temperature in Antarctica has reached − 89.2 ° C ( − 128.6 ° F ) , though the average for the third quarter ( the coldest part of the year ) is − 63 ° C ( − 81 ° F ) . Anywhere from 1,000 to 5,000 people reside throughout the year at the research stations scattered across the continent . Organisms native to Antarctica include many types of algae , bacteria , fungi , plants , protista , and certain animals , such as mites , nematodes , penguins , seals and tardigrades . Vegetation , where it occurs , is tundra .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctica,2,"Although myths and speculation about a Terra Australis ( `` Southern Land '' ) date back to antiquity , Antarctica is noted as the last region on Earth in recorded history to be discovered and colonised by humans , being only first sighted in 1820 by the Russian expedition of Fabian Gottlieb von Bellingshausen and Mikhail Lazarev on Vostok and Mirny , who sighted the Fimbul ice shelf . The continent , however , remained largely neglected for the rest of the 19th century because of its hostile environment , lack of easily accessible resources , and isolation . In 1895 , the first confirmed landing was conducted by a team of Norwegians . Antarctica is a de facto condominium , governed by parties to the Antarctic Treaty System that have consulting status . Twelve countries signed the Antarctic Treaty in 1959 , and thirty-eight have signed it since then . The treaty prohibits military activities and mineral mining , prohibits nuclear explosions and nuclear waste disposal , supports scientific research , and protects the continent 's ecozone .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Antarctica,3,"Ongoing experiments are conducted by more than 4,000 scientists from many nations .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Arctic,0,"The Arctic ( -LSB- ˈɑrktɪk -RSB- or -LSB- ˈɑrtɪk -RSB- ) is a polar region located at the northernmost part of Earth . The Arctic consists of the Arctic Ocean , adjacent seas , and parts of Alaska ( United States ) , Canada , Finland , Greenland ( Denmark ) , Iceland , Norway , Russia and Sweden . Land within the Arctic region has seasonally varying snow and ice cover , with predominantly treeless permafrost-containing tundra . Arctic seas contain seasonal sea ice in many places . The Arctic region is a unique area among Earth 's ecosystems . For example , the cultures in the region and the Arctic indigenous peoples have adapted to its cold and extreme conditions . In recent years , Arctic sea ice decline has been caused by global warming . Life in the Arctic includes organisms living in the ice , zooplankton and phytoplankton , fish and marine mammals , birds , land animals , plants and human societies . Arctic land is bordered by the subarctic .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Arctic_sea_ice_decline,0,"Arctic sea ice decline is the sea ice loss observed in recent decades in the Arctic Ocean . The Intergovernmental Panel on Climate Change ( IPCC ) Fourth Assessment Report states that greenhouse gas forcing is largely , but not wholly , responsible for the decline in Arctic sea ice extent . A study from 2011 suggested that internal variability enhanced the greenhouse gas forced sea ice decline over the last decades . A study from 2007 found the decline to be `` faster than forecasted '' by model simulations . The IPCC Fifth Assessment Report concluded with high confidence that sea ice continues to decrease in extent , and that there is robust evidence for the downward trend in Arctic summer sea ice extent since 1979 . It has been established that the region is at its warmest for at least 40,000 years and the Arctic-wide melt season has lengthened at a rate of 5 days per decade ( from 1979 to 2013 ) , dominated by a later autumn freezeup . Sea ice changes have been identified as a mechanism for polar amplification .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
Arctic_ice_pack,0,"The Arctic ice pack is the ice cover of the Arctic Ocean and its vicinity . The Arctic ice pack undergoes a regular seasonal cycle in which ice melts in spring and summer , reaches a minimum around mid-September , then increases during fall and winter . Summer ice cover in the Arctic is about 50 % of winter cover . Some of the ice survives from one year to the next . Currently 28 % of Arctic basin sea ice is multi-year ice , thicker than seasonal ice : up to 3 - thick over large areas , with ridges up to 20 m thick . As well as the regular seasonal cycle there has been an underlying trend of declining sea ice in the Arctic in recent decades .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
